county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_[per_1000_people],staffed_all_beds_[per_1000_adults_20+],staffed_all_beds_[per_1000_elderly_65+],staffed_icu_beds_[per_1000_people],staffed_icu_beds_[per_1000_adults_20+],staffed_icu_beds_[per_1000_elderly_65+],licensed_all_beds_per_1000_people,licensed_all_beds_[per_1000_adults_20+],licensed_all_beds_[per_1000_elderly_65+],state,cases,deaths
Abbeville,25.0,6.0,25.0,0.32,0.03,24541.0,18884.0,5343.0,1.0190000000000001,1.324,4.678999999999999,0.244,0.318,1.123,1.0190000000000001,1.324,4.678999999999999,South Carolina,22.0,0.0
Acadia,205.0,4.0,186.0,0.28,0.85,62190.0,44673.0,9491.0,3.2960000000000003,4.5889999999999995,21.599,0.064,0.09,0.42100000000000004,2.991,4.164,19.598,Louisiana,117.0,7.0
Ada,1195.0,105.0,1350.0,0.62,0.55,469966.0,345855.0,67792.0,2.543,3.455,17.627,0.223,0.304,1.5490000000000002,2.873,3.903,19.914,Idaho,597.0,14.0
Adair,25.0,0.0,25.0,0.04,0.0,7063.0,5412.0,1603.0,3.54,4.619,15.595999999999998,0.0,0.0,0.0,3.54,4.619,15.595999999999998,Iowa,1.0,0.0
Adair,49.0,0.0,77.0,0.01,0.0,19215.0,14529.0,3571.0,2.55,3.373,13.722000000000001,0.0,0.0,0.0,4.007,5.3,21.563000000000002,Kentucky,60.0,4.0
Adair,51.0,10.0,93.0,0.52,0.51,25339.0,18638.0,3755.0,2.013,2.736,13.582,0.395,0.537,2.6630000000000003,3.67,4.99,24.767,Missouri,12.0,0.0
Adair,30.0,0.0,67.0,0.49,0.0,22082.0,15689.0,3512.0,1.359,1.912,8.542,0.0,0.0,0.0,3.034,4.271,19.077,Oklahoma,49.0,3.0
Adams,1439.0,264.0,1567.0,0.7,0.76,511868.0,363607.0,53587.0,2.8110000000000004,3.958,26.854,0.516,0.726,4.927,3.0610000000000004,4.31,29.241999999999997,Colorado,1033.0,46.0
Adams,22.0,0.0,22.0,0.07,0.0,3645.0,2801.0,841.0,6.0360000000000005,7.854,26.159000000000002,0.0,0.0,0.0,6.0360000000000005,7.854,26.159000000000002,,,
Adams,248.0,25.0,307.0,0.56,0.58,65691.0,49446.0,13290.0,3.775,5.016,18.660999999999998,0.381,0.506,1.881,4.673,6.209,23.1,Illinois,29.0,0.0
Adams,25.0,4.0,25.0,0.65,0.4,35636.0,23599.0,5524.0,0.7020000000000001,1.0590000000000002,4.526,0.11199999999999999,0.16899999999999998,0.7240000000000001,0.7020000000000001,1.0590000000000002,4.526,Indiana,7.0,1.0
Adams,147.0,15.0,159.0,0.36,0.28,31192.0,24329.0,5874.0,4.713,6.042000000000001,25.026,0.48100000000000004,0.617,2.5540000000000003,5.0969999999999995,6.535,27.068,Mississippi,96.0,7.0
Adams,25.0,0.0,25.0,0.28,0.0,2294.0,1815.0,639.0,10.898,13.774000000000001,39.124,0.0,0.0,0.0,10.898,13.774000000000001,39.124,,,
Adams,97.0,10.0,170.0,0.45,0.54,31511.0,22944.0,5736.0,3.0780000000000003,4.228,16.910999999999998,0.317,0.436,1.743,5.395,7.409,29.636999999999997,Nebraska,103.0,1.0
Adams,25.0,0.0,25.0,0.54,0.0,27724.0,20501.0,4971.0,0.902,1.219,5.029,0.0,0.0,0.0,0.902,1.219,5.029,Ohio,4.0,0.0
Adams,76.0,8.0,76.0,0.61,0.66,102811.0,79300.0,20954.0,0.7390000000000001,0.958,3.627,0.078,0.10099999999999999,0.382,0.7390000000000001,0.958,3.627,Pennsylvania,92.0,2.0
