fips_code,date,county,state,cases,deaths,State,Staffed.All.Beds,Staffed.ICU.Beds,Licensed.All.Beds,All.Bed.Occupancy.Rate,ICU.Bed.Occupancy.Rate,Population,Population..20..,Population..65..,Staffed.All.Beds..Per.1000.People.,Staffed.All.Beds..Per.1000.Adults..20...,Staffed.All.Beds..Per.1000.Elderly..65...,Staffed.ICU.Beds..Per.1000.People.,Staffed.ICU.Beds..Per.1000.Adults..20...,Staffed.ICU.Beds..Per.1000.Elderly..65...,Licensed.All.Beds..Per.1000.People.,Licensed.All.Beds..Per.1000.Adults..20...,Licensed.All.Beds..Per.1000.Elderly..65...,county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_.per_1000_people.,staffed_all_beds_.per_1000_adults_20..,staffed_all_beds_.per_1000_elderly_65..,staffed_icu_beds_.per_1000_people.,staffed_icu_beds_.per_1000_adults_20..,staffed_icu_beds_.per_1000_elderly_65..,licensed_all_beds_per_1000_people,licensed_all_beds_.per_1000_adults_20..,licensed_all_beds_.per_1000_elderly_65..,County_Name,Population_2010,RUCC_2013,Description,Area_name,Rural.urban_Continuum_Code_2013,Urban_Influence_Code_2013,peopleinpoverty2018,medianhouseholdincome
01003,2020-03-21,Baldwin,Alabama,2,0,AL,362,51,386,0.64,0.65,218022,166352,44571,1.66,2.176,8.122,0.234,0.307,1.144,1.77,2.32,8.66,Baldwin,362,51,386,0.64,0.65,218022,166352,44571,1.66,2.176,8.122,0.23399999999999999,0.307,1.1440000000000001,1.77,2.32,8.66,Baldwin County,182265,3,"Metro - Counties in metro areas of fewer than 250,000 population",Baldwin County,3,2,"21,069","57,588"
01015,2020-03-21,Calhoun,Alabama,1,0,AL,446,24,590,0.49,0.94,114277,86499,20247,3.903,5.156,22.028,0.21,0.277,1.185,5.163,6.821,29.14,Calhoun,446,24,590,0.49,0.94,114277,86499,20247,3.903,5.156000000000001,22.028000000000002,0.21,0.27699999999999997,1.185,5.162999999999999,6.821000000000001,29.14,Calhoun County,118572,3,"Metro - Counties in metro areas of fewer than 250,000 population",Calhoun County,3,2,"21,719","45,400"
01017,2020-03-21,Chambers,Alabama,1,0,AL,0,0,115,NA,NA,33615,25934,6562,0,0,0,0,0,0,3.421,4.434,17.525,Chambers,0,0,115,0,0,33615,25934,6562,0,0,0,0,0,0,3.4210000000000003,4.434,17.525,Chambers County,34215,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Chambers County,6,5,"6,181","39,917"
01043,2020-03-21,Cullman,Alabama,2,0,AL,185,12,185,0.49,0.69,83442,62910,15446,2.217,2.941,11.977,0.144,0.191,0.777,2.217,2.941,11.977,Cullman,185,12,185,0.49,0.69,83442,62910,15446,2.217,2.9410000000000003,11.977,0.14400000000000002,0.191,0.777,2.217,2.9410000000000003,11.977,Cullman County,80406,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Cullman County,4,3,"11,925","45,796"
01051,2020-03-21,Elmore,Alabama,6,0,AL,70,5,129,0.33,0.2,81887,61893,12400,0.855,1.131,5.645,0.061,0.081,0.403,1.575,2.084,10.403,Elmore,70,5,129,0.33,0.2,81887,61893,12400,0.855,1.131,5.645,0.061,0.081,0.40299999999999997,1.575,2.084,10.402999999999999,Elmore County,79303,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Elmore County,2,2,"8,559","60,367"
01071,2020-03-21,Jackson,Alabama,1,0,AL,168,10,170,0.16,0.55,51736,39846,10373,3.247,4.216,16.196,0.193,0.251,0.964,3.286,4.266,16.389,Jackson,168,10,170,0.16,0.55,51736,39846,10373,3.247,4.216,16.195999999999998,0.193,0.251,0.9640000000000001,3.286,4.266,16.389,Jackson County,53227,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Jackson County,6,5,"10,046","41,929"
01073,2020-03-21,Jefferson,Alabama,61,0,AL,3696,477,4732,0.72,0.75,659300,492611,104547,5.606,7.503,35.353,0.723,0.968,4.563,7.177,9.606,45.262,Jefferson,3696,477,4732,0.72,0.75,659300,492611,104547,5.606,7.502999999999999,35.353,0.723,0.968,4.563,7.1770000000000005,9.606,45.262,Jefferson County,658466,1,Metro - Counties in metro areas of 1 million population or more,Jefferson County,1,1,"103,604","55,013"
01075,2020-03-21,Lamar,Alabama,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01077,2020-03-21,Lauderdale,Alabama,2,0,AL,233,52,263,0.73,0.43,92387,71476,18563,2.522,3.26,12.552,0.563,0.728,2.801,2.847,3.68,14.168,Lauderdale,233,52,263,0.73,0.43,92387,71476,18563,2.522,3.26,12.552,0.563,0.728,2.801,2.847,3.68,14.168,Lauderdale County,92709,3,"Metro - Counties in metro areas of fewer than 250,000 population",Lauderdale County,3,2,"12,645","48,707"
01081,2020-03-21,Lee,Alabama,12,0,AL,477,36,500,0.59,0.47,163941,121363,19481,2.91,3.93,24.485,0.22,0.297,1.848,3.05,4.12,25.666,Lee,477,36,500,0.59,0.47,163941,121363,19481,2.91,3.93,24.485,0.22,0.297,1.848,3.05,4.12,25.666,Lee County,140247,3,"Metro - Counties in metro areas of fewer than 250,000 population",Lee County,3,2,"30,075","48,937"
01083,2020-03-21,Limestone,Alabama,1,0,AL,97,10,102,0.52,0.23,96174,72418,14608,1.009,1.339,6.64,0.104,0.138,0.685,1.061,1.408,6.982,Limestone,97,10,102,0.52,0.23,96174,72418,14608,1.0090000000000001,1.339,6.64,0.10400000000000001,0.138,0.685,1.061,1.4080000000000001,6.982,Limestone County,82782,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Limestone County,2,2,"10,633","64,863"
01089,2020-03-21,Madison,Alabama,9,0,AL,1240,103,1244,0.73,0.79,366519,276519,55125,3.383,4.484,22.494,0.281,0.372,1.868,3.394,4.499,22.567,Madison,1240,103,1244,0.73,0.79,366519,276519,55125,3.383,4.484,22.494,0.281,0.37200000000000005,1.868,3.3939999999999997,4.499,22.566999999999997,Madison County,334811,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Madison County,2,2,"42,667","63,755"
01093,2020-03-21,Marion,Alabama,1,0,AL,97,8,120,0.2,0,29763,22949,6321,3.259,4.227,15.346,0.269,0.349,1.266,4.032,5.229,18.984,Marion,97,8,120,0.2,0,29763,22949,6321,3.259,4.227,15.345999999999998,0.26899999999999996,0.349,1.266,4.032,5.229,18.984,Marion County,30776,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Marion County,7,11,"5,844","37,887"
01097,2020-03-21,Mobile,Alabama,2,0,AL,1639,157,2028,0.69,0.82,413757,306789,67041,3.961,5.342,24.448,0.379,0.512,2.342,4.901,6.61,30.25,Mobile,1639,157,2028,0.69,0.82,413757,306789,67041,3.9610000000000003,5.3420000000000005,24.448,0.379,0.512,2.342,4.901,6.61,30.25,Mobile County,412992,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Mobile County,2,2,"84,539","43,598"
01101,2020-03-21,Montgomery,Alabama,3,0,AL,1075,90,1321,0.71,0.7,225763,166708,34173,4.762,6.448,31.458,0.399,0.54,2.634,5.851,7.924,38.656,Montgomery,1075,90,1321,0.71,0.7,225763,166708,34173,4.762,6.4479999999999995,31.458000000000002,0.39899999999999997,0.54,2.634,5.851,7.9239999999999995,38.656,Montgomery County,229363,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Montgomery County,2,2,"43,567","49,640"
01115,2020-03-21,St. Clair,Alabama,1,0,AL,40,6,40,0.58,0.64,88690,66809,14738,0.451,0.599,2.714,0.068,0.09,0.407,0.451,0.599,2.714,St. Clair,40,6,40,0.58,0.64,88690,66809,14738,0.451,0.599,2.714,0.068,0.09,0.40700000000000003,0.451,0.599,2.714,St. Clair County,83593,1,Metro - Counties in metro areas of 1 million population or more,St. Clair County,1,1,"10,432","57,284"
01117,2020-03-21,Shelby,Alabama,16,0,AL,212,32,349,0.59,0.67,215707,159921,33087,0.983,1.326,6.407,0.148,0.2,0.967,1.618,2.182,10.548,Shelby,212,32,349,0.59,0.67,215707,159921,33087,0.983,1.3259999999999998,6.407,0.14800000000000002,0.2,0.9670000000000001,1.618,2.182,10.548,Shelby County,195085,1,Metro - Counties in metro areas of 1 million population or more,Shelby County,1,1,"16,916","75,663"
01121,2020-03-21,Talladega,Alabama,1,0,AL,207,14,290,0.26,0.6,79828,61023,14370,2.593,3.392,14.405,0.175,0.229,0.974,3.633,4.752,20.181,Talladega,207,14,290,0.26,0.6,79828,61023,14370,2.593,3.392,14.405,0.175,0.22899999999999998,0.9740000000000001,3.633,4.752,20.180999999999997,Talladega County,82291,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Talladega County,4,3,"14,825","41,630"
01125,2020-03-21,Tuscaloosa,Alabama,6,0,AL,553,84,843,0.78,0.95,208911,154939,27743,2.647,3.569,19.933,0.402,0.542,3.028,4.035,5.441,30.386,Tuscaloosa,553,84,843,0.78,0.95,208911,154939,27743,2.647,3.569,19.933,0.402,0.542,3.028,4.035,5.441,30.386,Tuscaloosa County,194656,3,"Metro - Counties in metro areas of fewer than 250,000 population",Tuscaloosa County,3,2,"33,330","52,557"
01127,2020-03-21,Walker,Alabama,1,0,AL,207,12,267,0.31,0.67,63711,48270,12311,3.249,4.288,16.814,0.188,0.249,0.975,4.191,5.531,21.688,Walker,207,12,267,0.31,0.67,63711,48270,12311,3.2489999999999997,4.288,16.814,0.188,0.249,0.975,4.191,5.531000000000001,21.688000000000002,Walker County,67023,1,Metro - Counties in metro areas of 1 million population or more,Walker County,1,1,"11,231","45,434"
01129,2020-03-21,Washington,Alabama,1,0,AL,15,0,25,0.39,NA,16378,12385,3130,0.916,1.211,4.792,0,0,0,1.526,2.019,7.987,Washington,15,0,25,0.39,0,16378,12385,3130,0.9159999999999999,1.2109999999999999,4.792,0,0,0,1.526,2.019,7.987,Washington County,17581,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Washington County,8,7,"2,846","44,424"
02020,2020-03-21,Anchorage,Alaska,5,0,AK,979,73,1149,0.66,0.71,291538,213508,32333,3.358,4.585,30.279,0.25,0.342,2.258,3.941,5.382,35.536,Anchorage,979,73,1149,0.66,0.71,291538,213508,32333,3.358,4.585,30.279,0.25,0.342,2.258,3.9410000000000003,5.382000000000001,35.536,Anchorage Municipality,291826,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Anchorage Borough,2,2,"27,075","82,113"
02090,2020-03-21,Fairbanks North Star Borough,Alaska,7,0,AK,145,13,175,0.46,0.66,98971,72505,10204,1.465,2,14.21,0.131,0.179,1.274,1.768,2.414,17.15,Fairbanks North Star,145,13,175,0.46,0.66,98971,72505,10204,1.465,2,14.21,0.131,0.179,1.274,1.768,2.414,17.15,Fairbanks North Star Borough,97581,3,"Metro - Counties in metro areas of fewer than 250,000 population",Fairbanks North Star Borough,3,2,"8,104","74,268"
