fips_code,date,county,state.x,cases.x,deaths.x,State,County.Name,Staffed.All.Beds,Staffed.ICU.Beds,Licensed.All.Beds,All.Bed.Occupancy.Rate,ICU.Bed.Occupancy.Rate,Population,Population..20..,Population..65..,Staffed.All.Beds..Per.1000.People.,Staffed.All.Beds..Per.1000.Adults..20...,Staffed.All.Beds..Per.1000.Elderly..65...,Staffed.ICU.Beds..Per.1000.People.,Staffed.ICU.Beds..Per.1000.Adults..20...,Staffed.ICU.Beds..Per.1000.Elderly..65...,Licensed.All.Beds..Per.1000.People.,Licensed.All.Beds..Per.1000.Adults..20...,Licensed.All.Beds..Per.1000.Elderly..65...,county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_.per_1000_people.,staffed_all_beds_.per_1000_adults_20..,staffed_all_beds_.per_1000_elderly_65..,staffed_icu_beds_.per_1000_people.,staffed_icu_beds_.per_1000_adults_20..,staffed_icu_beds_.per_1000_elderly_65..,licensed_all_beds_per_1000_people,licensed_all_beds_.per_1000_adults_20..,licensed_all_beds_.per_1000_elderly_65..,State.x,County_Name,Population_2010,RUCC_2013,Description,State.y,Area_name,Rural.urban_Continuum_Code_2013,Urban_Influence_Code_2013,peopleinpoverty2018,medianhouseholdincome
01001,2020-04-21,Autauga,Alabama,30,1,AL,Autauga,55,6,85,0.62,0.53,55601,41177,8653,0.989,1.336,6.356,0.108,0.146,0.693,1.529,2.064,9.823,Autauga,55,6,85,0.62,0.53,55601,41177,8653,0.9890000000000001,1.3359999999999999,6.356,0.10800000000000001,0.146,0.693,1.5290000000000001,2.064,9.823,AL,Autauga County,54571,2,"Metro - Counties in metro areas of 250,000 to 1 million population",AL,Autauga County,2,2,"7,587","59,338"
01003,2020-04-21,Baldwin,Alabama,123,3,AL,Baldwin,362,51,386,0.64,0.65,218022,166352,44571,1.66,2.176,8.122,0.234,0.307,1.144,1.77,2.32,8.66,Baldwin,362,51,386,0.64,0.65,218022,166352,44571,1.66,2.176,8.122,0.23399999999999999,0.307,1.1440000000000001,1.77,2.32,8.66,AL,Baldwin County,182265,3,"Metro - Counties in metro areas of fewer than 250,000 population",AL,Baldwin County,3,2,"21,069","57,588"
01005,2020-04-21,Barbour,Alabama,28,0,AL,Barbour,30,5,74,0.43,0.42,24881,19189,4832,1.206,1.563,6.209,0.201,0.261,1.035,2.974,3.856,15.315,Barbour,30,5,74,0.43,0.42,24881,19189,4832,1.206,1.5630000000000002,6.209,0.201,0.261,1.035,2.9739999999999998,3.8560000000000003,15.315,AL,Barbour County,27457,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Barbour County,6,6,"6,788","34,382"
01007,2020-04-21,Bibb,Alabama,32,0,AL,Bibb,25,0,35,0.37,NA,22400,17348,3690,1.116,1.441,6.775,0,0,0,1.562,2.018,9.485,Bibb,25,0,35,0.37,0,22400,17348,3690,1.1159999999999999,1.4409999999999998,6.775,0,0,0,1.5619999999999998,2.0180000000000002,9.485,AL,Bibb County,22915,1,Metro - Counties in metro areas of 1 million population or more,AL,Bibb County,1,1,"4,400","46,064"
01009,2020-04-21,Blount,Alabama,26,0,AL,Blount,25,6,25,0.5,0.34,57840,43175,10548,0.432,0.579,2.37,0.104,0.139,0.569,0.432,0.579,2.37,Blount,25,6,25,0.5,0.34,57840,43175,10548,0.43200000000000005,0.579,2.37,0.10400000000000001,0.139,0.569,0.43200000000000005,0.579,2.37,AL,Blount County,57322,1,Metro - Counties in metro areas of 1 million population or more,AL,Blount County,1,1,"7,527","50,412"
01011,2020-04-21,Bullock,Alabama,11,0,AL,Bullock,30,0,61,0.21,NA,10138,7810,1661,2.959,3.841,18.061,0,0,0,6.017,7.81,36.725,Bullock,30,0,61,0.21,0,10138,7810,1661,2.9589999999999996,3.841,18.061,0,0,0,6.017,7.81,36.725,AL,Bullock County,10914,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Bullock County,6,6,"3,610","29,267"
01013,2020-04-21,Butler,Alabama,15,0,AL,Butler,66,7,94,0.18,0.38,19680,14868,3995,3.354,4.439,16.521,0.356,0.471,1.752,4.776,6.322,23.529,Butler,66,7,94,0.18,0.38,19680,14868,3995,3.3539999999999996,4.439,16.521,0.35600000000000004,0.47100000000000003,1.7519999999999998,4.776,6.322,23.529,AL,Butler County,20947,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Butler County,6,6,"4,731","37,365"
01015,2020-04-21,Calhoun,Alabama,83,3,AL,Calhoun,446,24,590,0.49,0.94,114277,86499,20247,3.903,5.156,22.028,0.21,0.277,1.185,5.163,6.821,29.14,Calhoun,446,24,590,0.49,0.94,114277,86499,20247,3.903,5.156000000000001,22.028000000000002,0.21,0.27699999999999997,1.185,5.162999999999999,6.821000000000001,29.14,AL,Calhoun County,118572,3,"Metro - Counties in metro areas of fewer than 250,000 population",AL,Calhoun County,3,2,"21,719","45,400"
01017,2020-04-21,Chambers,Alabama,259,16,AL,Chambers,0,0,115,NA,NA,33615,25934,6562,0,0,0,0,0,0,3.421,4.434,17.525,Chambers,0,0,115,0,0,33615,25934,6562,0,0,0,0,0,0,3.4210000000000003,4.434,17.525,AL,Chambers County,34215,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Chambers County,6,5,"6,181","39,917"
01019,2020-04-21,Cherokee,Alabama,13,0,AL,Cherokee,45,0,60,0.24,NA,26032,20497,5980,1.729,2.195,7.525,0,0,0,2.305,2.927,10.033,Cherokee,45,0,60,0.24,0,26032,20497,5980,1.729,2.195,7.525,0,0,0,2.305,2.927,10.033,AL,Cherokee County,25989,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Cherokee County,6,6,"4,180","42,132"
