fips_code,county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_.per_1000_people.,staffed_all_beds_.per_1000_adults_20..,staffed_all_beds_.per_1000_elderly_65..,staffed_icu_beds_.per_1000_people.,staffed_icu_beds_.per_1000_adults_20..,staffed_icu_beds_.per_1000_elderly_65..,licensed_all_beds_per_1000_people,licensed_all_beds_.per_1000_adults_20..,licensed_all_beds_.per_1000_elderly_65..,state,cases,deaths,State.x,County_Name,Population_2010,RUCC_2013,Description,State.y,Area_name,Rural.urban_Continuum_Code_2013,Urban_Influence_Code_2013,peopleinpoverty2018,medianhouseholdincome
01001,Autauga,55,6,85,0.62,0.53,55601,41177,8653,0.9890000000000001,1.3359999999999999,6.356,0.10800000000000001,0.146,0.693,1.5290000000000001,2.064,9.823,Alabama,32,2,AL,Autauga County,54571,2,"Metro - Counties in metro areas of 250,000 to 1 million population",AL,Autauga County,2,2,"7,587","59,338"
01003,Baldwin,362,51,386,0.64,0.65,218022,166352,44571,1.66,2.176,8.122,0.23399999999999999,0.307,1.1440000000000001,1.77,2.32,8.66,Alabama,132,3,AL,Baldwin County,182265,3,"Metro - Counties in metro areas of fewer than 250,000 population",AL,Baldwin County,3,2,"21,069","57,588"
01005,Barbour,30,5,74,0.43,0.42,24881,19189,4832,1.206,1.5630000000000002,6.209,0.201,0.261,1.035,2.9739999999999998,3.8560000000000003,15.315,Alabama,29,0,AL,Barbour County,27457,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Barbour County,6,6,"6,788","34,382"
01007,Bibb,25,0,35,0.37,0,22400,17348,3690,1.1159999999999999,1.4409999999999998,6.775,0,0,0,1.5619999999999998,2.0180000000000002,9.485,Alabama,34,0,AL,Bibb County,22915,1,Metro - Counties in metro areas of 1 million population or more,AL,Bibb County,1,1,"4,400","46,064"
01009,Blount,25,6,25,0.5,0.34,57840,43175,10548,0.43200000000000005,0.579,2.37,0.10400000000000001,0.139,0.569,0.43200000000000005,0.579,2.37,Alabama,29,0,AL,Blount County,57322,1,Metro - Counties in metro areas of 1 million population or more,AL,Blount County,1,1,"7,527","50,412"
01011,Bullock,30,0,61,0.21,0,10138,7810,1661,2.9589999999999996,3.841,18.061,0,0,0,6.017,7.81,36.725,Alabama,11,0,AL,Bullock County,10914,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Bullock County,6,6,"3,610","29,267"
01013,Butler,66,7,94,0.18,0.38,19680,14868,3995,3.3539999999999996,4.439,16.521,0.35600000000000004,0.47100000000000003,1.7519999999999998,4.776,6.322,23.529,Alabama,17,0,AL,Butler County,20947,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Butler County,6,6,"4,731","37,365"
01015,Calhoun,446,24,590,0.49,0.94,114277,86499,20247,3.903,5.156000000000001,22.028000000000002,0.21,0.27699999999999997,1.185,5.162999999999999,6.821000000000001,29.14,Alabama,85,3,AL,Calhoun County,118572,3,"Metro - Counties in metro areas of fewer than 250,000 population",AL,Calhoun County,3,2,"21,719","45,400"
01017,Chambers,0,0,115,0,0,33615,25934,6562,0,0,0,0,0,0,3.4210000000000003,4.434,17.525,Alabama,270,16,AL,Chambers County,34215,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Chambers County,6,5,"6,181","39,917"
01019,Cherokee,45,0,60,0.24,0,26032,20497,5980,1.729,2.195,7.525,0,0,0,2.305,2.927,10.033,Alabama,13,0,AL,Cherokee County,25989,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",AL,Cherokee County,6,6,"4,180","42,132"
